2026-04-17 15:41:50 - === Session Started - Malpractice Detection Log ===
2026-04-17 15:42:52 - [2026-04-17 15:42:52] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:52 - [2026-04-17 15:42:52] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:52 - [2026-04-17 15:42:52] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:52 - [2026-04-17 15:42:52] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.89
2026-04-17 15:42:53 - [2026-04-17 15:42:53] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:53 - [2026-04-17 15:42:53] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.89
2026-04-17 15:42:53 - [2026-04-17 15:42:53] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:53 - [2026-04-17 15:42:53] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:53 - [2026-04-17 15:42:53] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.92
2026-04-17 15:42:53 - [2026-04-17 15:42:53] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.91
2026-04-17 15:42:53 - [2026-04-17 15:42:53] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.87
2026-04-17 15:42:53 - [2026-04-17 15:42:53] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.89
2026-04-17 15:42:54 - [2026-04-17 15:42:54] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.88
2026-04-17 15:42:54 - [2026-04-17 15:42:54] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.88
2026-04-17 15:42:54 - [2026-04-17 15:42:54] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:55 - [2026-04-17 15:42:55] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.90
2026-04-17 15:42:55 - [2026-04-17 15:42:55] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.86
2026-04-17 15:42:55 - [2026-04-17 15:42:55] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:55 - [2026-04-17 15:42:55] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:55 - [2026-04-17 15:42:55] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:55 - [2026-04-17 15:42:55] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:55 - [2026-04-17 15:42:55] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:55 - [2026-04-17 15:42:55] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:56 - [2026-04-17 15:42:56] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:56 - [2026-04-17 15:42:56] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:56 - [2026-04-17 15:42:56] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
2026-04-17 15:42:56 - [2026-04-17 15:42:56] TRACK_1 - Head Turning Toward Neighbor | Conf: 0.93
